PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,20005 -,NO 1 - - -,6709270.133,247481.095,26.785,16032022,85,,,[],[],[],"['0.00', '1.00', '2.00', '3.00']",[],[],[],[],[],[],[],[],[],[],[],
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709448.952,247947.406,32.61,17022022,9,0.20,,[],[],[],['1.34'],[],[],[],[],['9.06'],[],[],[],[],[],[],9.08
,Kaarinan kaupunki,Kaarinan kaupunki,1483,PA  0 0,6709092.142,246123.372,27.198,22012014,15,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60']",[],[],[],[],[],[],[],[],[],[],[],16.76
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA      -       0,6709012.769,246237.641,26.295,14122020,5,000.00  -,,[],[],[],['000.40'],[],['011.00'],[],[],[],['013.28'],[],[],[],[],[],017.84
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709116.432,246306.17,25.935,10122020,9,000.00  -,,[],[],[],['000.20'],[],[],[],[],[],"['013.20', '013.35', '015.65', '019.05', '019.54', '022.56']",[],[],[],[],[],022.56
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA      -       0,6709214.897,246323.738,25.854,14122020,12,001.00  -,,[],[],[],['001.40'],[],['018.80'],[],[],[],['019.80'],[],[],[],[],[],023.27
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA      -       0,6709169.918,246402.338,25.563,14122020,10,000.00  -,,[],[],[],['000.60'],[],[],[],[],[],['016.80'],[],[],[],[],[],023.19
,Kaarinan kaupunki,Kaarinan kaupunki,1484,PA  0 0,6709209.713,246544.333,25.354,27012014,26,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40', '14.60', '14.80', '15.00', '15.20', '15.40', '15.60', '15.80', '16.00', '16.20', '16.40', '16.60', '16.80', '17.00', '17.20', '17.40', '17.60', '17.80', '18.00', '18.20', '18.40', '18.60', '18.80', '19.00', '19.20', '19.40', '19.60', '19.80', '20.00', '20.20']",[],[],[],[],[],[],[],[],[],[],[],26.26
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709196.393,247342.255,27.509,09022022,72,0.20,,[],[],[],"['1.10', '4.10', '5.10']",[],[],[],[],"['0.52', '7.02']",[],[],[],[],[],[],7.04
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709181.941,247474.076,28.53,21022020,77,000.20  -,,[],[],[],"['000.40', '001.00']",[],[],[],[],['001.34'],['001.20'],[],[],[],[],[],001.34
